id,district,house_type,house_build_date,floor_number,entrances,heating,window_view,ceiling_high,apartment_renovation,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
252717472,ЦАО,Монолитный,1890,3,2,Центральное,На улицу и двор,5.0,Евроремонт,100.0,56.0,20.0,Китай-город,on foot,10,52600000
253083644,ЮЗАО,Монолитный,2010,38,4,Центральное,На улицу,3.0,Евроремонт,161.0,71.0,12.0,Калужская,on foot,20,54500000
259697785,ЦАО,Кирпичный,1905,1,1,Центральное,На улицу и двор,3.5,Евроремонт,102.4,63.0,10.1,Арбатская,on foot,8,55000000
256729826,СЗАО,Монолитно кирпичный,1994,6,4,Центральное,На улицу и двор,3.1,Косметический,138.0,45.7,28.6,Шелепиха,transport,3,55000000
251543026,ЮЗАО,Монолитный,2007,17,4,Центральное,На улицу и двор,3.0,Евроремонт,117.0,52.0,16.0,Ленинский проспект,transport,5,55000000
258668505,СВАО,Монолитный,2019,14,11,Центральное,На улицу и двор,3.25,Без ремонта,112.2,81.0,20.0,Алексеевская,on foot,7,55990000
250066691,ЦАО,Кирпичный,1900,6,1,Центральное,На улицу и двор,3.2,Евроремонт,102.0,73.0,10.0,Новокузнецкая,on foot,9,57750000
236599910,ЦАО,Монолитный,2016,2,4,Центральное,Во двор,3.0,Евроремонт,112.0,68.3,15.0,Маяковская,on foot,2,58000000
228567082,ЗАО,Панельный,2006,25,1,Центральное,На улицу,3.0,Евроремонт,250.0,200.0,25.0,Юго-Западная,on foot,18,58000000
259728705,ЗАО,Монолитный,2003,2,5,Центральное,Во двор,3.0,Дизайнерский,110.0,67.0,17.5,Крылатское,on foot,17,59000000
258110560,ЦАО,Кирпичный,1938,2,3,Центральное,На улицу и двор,3.1,Дизайнерский,105.0,44.7,23.0,Краснопресненская,on foot,7,59000000
249210921,ЦАО,Монолитный,2007,14,8,Центральное,На улицу и двор,3.0,Дизайнерский,134.0,80.0,35.0,Деловой центр,on foot,18,60000000
239397350,ЗАО,Монолитный,1994,8,4,Центральное,На улицу и двор,3.0,Дизайнерский,110.0,67.1,16.7,Минская,transport,5,59900000
245464035,ЦАО,Монолитный,2008,2,2,Индивидуальный тепловой пункт,Во двор,3.2,Евроремонт,115.0,84.0,20.0,Улица 1905 года,on foot,5,60000000
255229582,ЮЗАО,Монолитный,2017,26,1,Центральное,На улицу и двор,3.0,Дизайнерский,94.6,57.7,14.4,Новые Черемушки,transport,4,60000000
250893631,СЗАО,Монолитно кирпичный,1994,6,4,Центральное,Во двор,3.1,Без ремонта,139.3,45.7,28.6,Шелепиха,on foot,13,60500000
249555076,ЦАО,Панельный,1994,2,4,Центральное,На улицу и двор,3.0,Без ремонта,82.0,50.0,12.5,Спортивная,on foot,8,60900000
258993541,ЗАО,Монолитный,2008,14,8,Центральное,На улицу и двор,3.0,Дизайнерский,110.0,75.0,12.0,Университет,on foot,25,61000000
245553553,ЦАО,Монолитно кирпичный,1994,2,4,Центральное,На улицу и двор,3.2,Без ремонта,81.6,55.0,15.0,Спортивная,on foot,6,61050000
258241766,ЦАО,Кирпичный,2001,3,3,Центральное,На улицу,3.2,Евроремонт,128.0,85.0,22.0,Белорусская,on foot,11,63000000
259608836,ЦАО,Монолитный,1994,2,4,Центральное,Во двор,3.0,Без ремонта,95.8,60.0,20.0,Улица 1905 года,on foot,9,65000000
