id,district,housing_type,house_type,house_build_date,floor_number,total_area,living_area,kitchen_area,nearest_subway,subway_type,subway_time,price
257246487,ЦАО,Вторичка,Монолитно-кирпичный,1994,11,83.0,58.0,9.0,Выставочная,on foot,12,50000000
256634229,ЦАО,Вторичка,Монолитный,2017,2,111.0,73.1,10.2,Павелецкая,on foot,6,50000000
260387725,СЗАО,Вторичка,Монолитный,1994,15,100.0,58.0,20.0,Шелепиха,on foot,15,50000000
254031897,ЗАО,Вторичка,Монолитный,2005,18,116.0,79.0,13.4,Минская,on foot,11,50000000
257732205,ЗАО,Вторичка,Монолитный,2011,16,100.0,70.0,15.2,Минская,transport,4,49900000
228824986,ЗАО,Вторичка,Монолитный,2001,4,210.0,150.0,20.0,Кунцевская,on foot,7,50500000
260432408,ЦАО,Вторичка,Панельный,1994,18,81.0,49.4,12.3,Деловой центр,on foot,12,50840494
259642706,СЗАО,Вторичка,Монолитный,2011,7,110.0,67.1,16.7,Покровское-Стрешнево,transport,5,52000000
259653011,ЦАО,Вторичка,Кирпичный,1937,11,71.0,46.0,15.0,Белорусская,on foot,5,51953790
259333003,ЗАО,Вторичка,Монолитный,2008,3,120.0,67.0,15.7,Славянский бульвар,on foot,13,52000000
256633401,ЦАО,Вторичка,Кирпичный,1911,1,107.4,48.6,21.0,Смоленская,on foot,8,51953790
251006680,ЗАО,Вторичка,Монолитный,2008,3,118.0,40.0,20.0,Славянский бульвар,on foot,16,52000000
252717472,ЦАО,Вторичка,Монолитный,1890,3,100.0,56.0,20.0,Китай-город,on foot,10,52600000
253083644,ЮЗАО,Вторичка,Монолитный,2010,38,161.0,71.0,12.0,Калужская,on foot,20,54500000
259697785,ЦАО,Вторичка,Кирпичный,1905,1,102.4,63.0,10.1,Арбатская,on foot,8,55000000
256729826,СЗАО,Вторичка,Монолитно-кирпичный,1994,6,138.0,45.7,28.6,Шелепиха,transport,3,55000000
251543026,ЮЗАО,Вторичка,Монолитный,2007,17,117.0,52.0,16.0,Ленинский проспект,transport,5,55000000
258668505,СВАО,Вторичка,Монолитный,2019,14,112.2,81.0,20.0,Алексеевская,on foot,7,55990000
250066691,ЦАО,Вторичка,Кирпичный,1900,6,102.0,73.0,10.0,Новокузнецкая,on foot,9,57750000
236599910,ЦАО,Вторичка,Монолитный,2016,2,112.0,68.3,15.0,Маяковская,on foot,2,58000000
228567082,ЗАО,Вторичка,Панельный,2006,25,250.0,200.0,25.0,Юго-Западная,on foot,18,58000000
259728705,ЗАО,Вторичка,Монолитный,2003,2,110.0,67.0,17.5,Крылатское,on foot,17,59000000
258110560,ЦАО,Вторичка,Кирпичный,1938,2,105.0,44.7,23.0,Краснопресненская,on foot,7,59000000
249210921,ЦАО,Вторичка,Монолитный,2007,14,134.0,80.0,35.0,Деловой центр,on foot,18,60000000
239397350,ЗАО,Вторичка,Монолитный,1994,8,110.0,67.1,16.7,Минская,transport,5,59900000
245464035,ЦАО,Вторичка,Монолитный,2008,2,115.0,84.0,20.0,Улица 1905 года,on foot,5,60000000
255229582,ЮЗАО,Вторичка,Монолитный,2017,26,94.6,57.7,14.4,Новые Черемушки,transport,4,60000000
250893631,СЗАО,Вторичка,Монолитно-кирпичный,1994,6,139.3,45.7,28.6,Шелепиха,on foot,13,60500000
249555076,ЦАО,Вторичка,Панельный,1994,2,82.0,50.0,12.5,Спортивная,on foot,8,60900000
258993541,ЗАО,Вторичка,Монолитный,2008,14,110.0,75.0,12.0,Университет,on foot,25,61000000
245553553,ЦАО,Вторичка,Монолитно-кирпичный,1994,2,81.6,55.0,15.0,Спортивная,on foot,6,61050000
258241766,ЦАО,Вторичка,Кирпичный,2001,3,128.0,85.0,22.0,Белорусская,on foot,11,63000000
259608836,ЦАО,Вторичка,Монолитный,1994,2,95.8,60.0,20.0,Улица 1905 года,on foot,9,65000000
259495012,СЗАО,Вторичка,Панельный,2003,17,160.0,119.0,25.0,Сокол,on foot,43,65000000
253852779,ЦАО,Вторичка,Монолитно-кирпичный,1994,3,112.0,81.0,20.0,Фрунзенская,on foot,10,65000000
256633811,ЗАО,Вторичка,Монолитный,2012,40,114.0,64.0,15.0,Молодежная,on foot,6,64500000
256423303,ЦАО,Вторичка,Панельный,2019,16,106.0,64.6,16.1,Деловой центр,on foot,13,65900000
257511541,ЗАО,Вторичка,Панельный,2000,5,131.0,67.0,23.0,Пионерская,on foot,11,66797730
258421621,ЦАО,Вторичка,Кирпичный,1902,4,100.0,64.0,12.0,Курская,on foot,8,66950000
257321954,ЗАО,Вторичка,Монолитный,2017,17,116.0,55.0,25.0,Фили,on foot,16,70000000
259608784,ЦАО,Вторичка,Монолитный,2020,42,119.6,80.0,20.0,Международная,on foot,6,72238000
250412865,ЦАО,Вторичка,Панельный,2002,7,112.0,70.0,16.0,Сухаревская,on foot,5,73000000
228825009,ЗАО,Вторичка,Монолитный,2006,2,98.0,65.0,25.0,Славянский бульвар,transport,5,75000000
241697488,ЦАО,Вторичка,Монолитный,2003,3,128.1,50.0,7.0,Добрынинская,on foot,2,74970000
259534873,ЦАО,Вторичка,Кирпичный,1938,8,71.0,52.0,16.0,Охотный ряд,on foot,4,77000000
256808811,ЗАО,Вторичка,Кирпичный,2008,6,110.0,70.0,19.0,Студенческая,on foot,9,77700000
258451437,ЗАО,Вторичка,Монолитный,2008,5,144.1,87.9,21.9,Славянский бульвар,on foot,16,77990000
219519174,ЦАО,Вторичка,Кирпичный,1994,3,94.0,55.0,20.0,Смоленская,on foot,4,80000000
257116982,ЦАО,Вторичка,Кирпичный,1900,4,138.0,60.0,15.0,Арбатская,on foot,8,80000000
260030092,ЦАО,Вторичка,Кирпичный,1900,4,140.0,75.0,17.0,Арбатская,on foot,5,80000000
259089029,САО,Вторичка,Кирпичный,2006,8,147.1,83.0,18.0,Аэропорт,on foot,10,79999000
254282072,ЦАО,Вторичка,Монолитный,2018,5,145.9,87.5,17.5,Новокузнецкая,on foot,8,81000000
260100866,ЦАО,Вторичка,Старый фонд,1994,4,110.0,75.0,16.0,Кропоткинская,on foot,8,81641670
217967852,ЗАО,Вторичка,Монолитный,2004,14,212.6,100.8,19.0,Славянский бульвар,on foot,8,82400000
243591118,ЦАО,Вторичка,Монолитный,2012,7,95.0,57.9,14.5,Новокузнецкая,on foot,3,83000000
256633712,СВАО,Вторичка,Монолитный,2009,4,130.0,69.1,21.6,ВДНХ,on foot,14,88000000
228809152,ЦАО,Вторичка,Кирпичный,1892,2,210.0,90.0,23.0,Чистые пруды,on foot,2,90000000
257581286,ЦАО,Вторичка,Кирпичный,1997,6,134.0,84.0,20.0,Улица 1905 года,on foot,6,92032428
247447136,ЗАО,Вторичка,Кирпичный,2008,9,138.0,84.1,21.0,Студенческая,on foot,8,91950000
257707560,ЦАО,Вторичка,Монолитно-кирпичный,1994,4,104.9,62.3,12.9,Фрунзенская,on foot,11,92700000
258832821,ЦАО,Вторичка,Монолитный,2002,2,125.0,74.0,12.0,Кропоткинская,on foot,9,96000000
236165780,ЗАО,Вторичка,Монолитный,2011,45,157.0,95.7,23.9,Ломоносовский проспект,transport,3,99000000
259764231,ЦАО,Вторичка,Монолитный,2004,3,140.0,125.0,10.0,Маяковская,on foot,5,100196595
257890863,ЦАО,Вторичка,Монолитный,1994,3,132.0,62.1,32.0,Третьяковская,on foot,6,108000000
257428539,ЦАО,Вторичка,Монолитно-кирпичный,1994,6,113.3,63.0,20.0,Спортивная,on foot,11,112000000
258467210,ЦАО,Вторичка,Монолитный,1994,23,219.0,153.0,15.0,Деловой центр,on foot,2,113778800
256633645,ЦАО,Вторичка,Панельный,1994,44,145.0,93.0,15.0,Деловой центр,on foot,2,112962383
