id,Город,Округ,Район,Улица,Дом,Общая,Жилая,Кухня,Этаж,Построен,Срок сдачи,Тип жилья,Высота потолков,Санузел,Ванная комната,Балкон/лоджия,Ремонт,Вид из окон,Площадь комнат,Отделка,Год постройки,Тип дома,Тип перекрытий,Подъезды,Лифты,Отопление,Аварийность,Парковка,Мусоропровод,Газоснабжение,Сдача комплекса,Застройщик,Класс,Кол-во корпусов,Ближайшее метро,Время до ближайшего метро,Цена
258874064,Москва,ЗАО,р-н Дорогомилово,Поклонная ул.,вл9,"133,9 м²","64,3 м²",,22 из 32,,2 кв. 2023,Новостройка Апартаменты,,,,,,,,Чистовая с мебелью,,Монолитно-кирпичный,,,,,,"Подземная, гостевая",,,Сдача в 2 кв. 2023,ANT Development,Премиум,1 корпус,Кутузовская, ⋅  4 мин. на транспорте,94 649 919 ₽
259898590,Москва,НАО (Новомосковский),Десеновское поселение,Ватутинки поселок,Рашен Дизайн Дистрикт жилой комплекс,"140,9 м²","84,3 м²",,13 из 13,,2022,Новостройка,"3,1 м",,,,,,,"Без отделки, чистовая",,Монолитно-кирпичный,,,,,,"Подземная, гостевая",,,Сдача в 2 кв. 2022,Группа Родина,Бизнес,9 корпусов,Ольховая, ⋅  17 мин. на транспорте,38 243 000 ₽
250591801,Москва,ЦАО,р-н Красносельский,Большая Спасская ул.,37,"119,7 м²","71,6 м²",11 м²,17 из 22,,3 кв. 2022,Новостройка,"3,25 м",,,,,,,Без отделки,,Монолитный,,,,,,"Подземная, гостевая",,,Сдача в 3 кв. 2022,Центр-Инвест,Премиум,2 корпуса,Комсомольская, ⋅  9 мин. пешком,61 821 099 ₽
254955048,Москва,ЦАО,р-н Арбат,ул. Арбат,24,"240,5 м²",,,7 из 8,,2019,Новостройка,"3,3 м",,,,,,,Без отделки,,Монолитный,,,,,,Подземная,,,Сдан,Valartis Group,Премиум,1 корпус,Арбатская, ⋅  9 мин. пешком,186 828 634 ₽
247656776,Москва,ЮАО,р-н Донской,4-й Верхний Михайловский проезд,1,"158,4 м²","67,4 м²","46,1 м²",10 из 13,,4 кв. 2021,Новостройка Апартаменты,3 м,3 совмещенных,,1 лоджия,,Во двор,,"Предчистовая, черновая, чистовая",,Монолитный,,,,,,"Подземная, гостевая",,,Сдача в 4 кв. 2021,Level Group,Бизнес,1 корпус,Шаболовская, ⋅  15 мин. пешком,52 862 053 ₽
251871019,Москва,ЗАО,р-н Раменки,1-й Сетуньский проезд,вл6,"96,6 м²",,,2 из 41,,1 кв. 2023,Новостройка,"3,25 м",,,,,,,Предчистовая,,Монолитно-кирпичный,,,,,,"Подземная, гостевая",,,Сдача в 1 кв. 2023,MR Group,Премиум,3 корпуса,Спортивная, ⋅  5 мин. на транспорте,38 800 000 ₽
256824279,Москва,ЮВАО,р-н Лефортово,Символ жилой комплекс,Искренность квартал,"123,3 м²","58,3 м²","29,5 м²",3 из 22,,1 кв. 2024,Новостройка,"3,1 м","1 совмещенный, 1 раздельный",,1 балкон,,На улицу и двор,,,,,,,,,,,,,,,,,Андроновка, ⋅  5 мин. на транспорте,36 294 996 ₽
248608135,Москва,ЦАО,р-н Хамовники,Погодинская ул.,2,"208,7 м²","111,6 м²","32,2 м²",5 из 13,,4 кв. 2019,Новостройка,"3,5 м",3 совмещенных,,,,На улицу и двор,,,,,,,,,,,,,,,,,Киевская, ⋅  13 мин. пешком,185 099 999 ₽
255677884,Москва,ЮЗАО,р-н Черемушки,Херсонская ул.,43к5,"123,98 м²",,,18 из 32,,2021,Новостройка,"3,1 м",,,,,,,Чистовая,,Монолитный,,,,,,"Подземная, гостевая",,,Сдан,Ташир,Премиум,1 корпус,Зюзино, откроется в 2021,55 791 000 ₽
251202761,Москва,СЗАО,р-н Покровское-Стрешнево,Сити Бэй жилой комплекс,,"111,3 м²",,,6 из 12,,4 кв. 2022,Новостройка,,,,,,Во двор,,Предчистовая,,Монолитный,,,,,,Подземная,,,Сдача в 2022—2023,MR Group,Бизнес,8 корпусов,Трикотажная, ⋅  14 мин. пешком,32 101 457 ₽
260543329,Москва,ЗАО,р-н Раменки,просп. Генерала Дорохова,,"137,3 м²","89,6 м²","6,1 м²",32 из 56,,2 кв. 2024,Новостройка,,,,,,,,,,,,,,,,,,,,,,,Минская, ⋅  18 мин. пешком,45 714 996 ₽
256183547,Москва,САО,р-н Хорошевский,Ленинградский просп.,37/3,"138,3 м²",,,25 из 40,,4 кв. 2021,Новостройка,"3,1 м",,,,,,,"Предчистовая, чистовая",,Монолитный,,,,,,"Подземная, гостевая",,,"Сдача в 2021—2023, есть сданные",Optima Development,Премиум,6 корпусов,Аэропорт, ⋅  12 мин. пешком,69 705 201 ₽
253653386,Москва,ЮАО,р-н Даниловский,Павелецкая Сити жилой комплекс,,132 м²,,,28 из 32,,4 кв. 2023,Новостройка,,,,,,Во двор,,,,,,,,,,,,,,,,,Серпуховская, ⋅  5 мин. на транспорте,53 125 512 ₽
260539819,Москва,ЮАО,р-н Даниловский,Хавская ул.,24с3,"123,9 м²","52,8 м²","38,3 м²",4 из 8,,1 кв. 2021,Новостройка,"3,4 м",,,,,На улицу и двор,,,,,,,,,,,,,,,,,Шаболовская, ⋅  10 мин. пешком,59 041 945 ₽
254955028,Москва,ЦАО,р-н Арбат,ул. Арбат,39,207 м²,,,4 из 5,,2019,Новостройка,"3,3 м",,,,,,,Без отделки,,Кирпичный,,,,,,Подземная,,,Сдан,Valartis Group,Премиум,1 корпус,Смоленская, ⋅  6 мин. пешком,210 415 500 ₽
254361439,Москва,НАО (Новомосковский),Московский поселение,ул. Родниковая,30к3,"101,8 м²","70,9 м²","10,2 м²",3 из 22,,4 кв. 2022,Новостройка,"2,95 м","2 совмещенных, 1 раздельный",,1 лоджия,,На улицу и двор,,Без отделки,,Монолитный,,,,,,"Подземная, гостевая",,,"Сдача в 2021—2022, есть сданные",Lexion Development,Бизнес,3 корпуса,Румянцево, ⋅  5 мин. на транспорте,19 425 476 ₽
